Supplier Code,Manufacturer,SKU,Item Name,Quantity Available,Quantity Used,Stock Sales Ratio
MR404721 MR404847 MR404850 MR571476 MZ690198 XR404847 XR571476 MR404849,Ningbo Sunshine Auto Parts Co,118-196,Filtro de Aire Mitsubishi Pajero Classic 3.2 3.8 AWD 2006- Pajero II III IV 2.5 3.0 3.2 3.5 3.8 4WD 2000-2007 Pajero Sport II 3.2 4WD 2008- Pajero Pinin I 3.2 1999-2006,39.00,1.00,508.69565217391306
4AAA-13012 17801-05732 17801-05071,Ningbo Sunshine Auto Parts Co,118-20,Filtro de Aire Toyota Hilux IV 2.4 4WD 1983-1989 Hiace II Van 1977-1983,35.00,1.00,456.5217391304348
17220RB0000 17220RB6Z00 17220-RB0-000 17220-RB6-Z00,Ningbo Sunshine Auto Parts Co,118-207,Filtro de Aire Honda City V 1.3 1.5 2008-2013 Jazz III IV 1.2 1.3 1.5 4WD 2007-2014 Amaze MK I 1.2 2013-2018 Brio 1.2 2011- Freed I 1.3 1.5 2011-2013 Freed I 1.5 2008-2016,36.00,4.00,130.12048192771084
17801-15060 17801-15060-83 1780115060,Ningbo Sunshine Auto Parts Co,118-5,Filtro de Aire Toyota Corolla 1987-1992 Carina V 1.6 4WD 1987-1992,38.00,2.00,265.1162790697674
37230/35050,Ningbo Sunshine Auto Parts Co,105-6,ROL DE BARRA DE TRANSMISION TOYOTA HILUX YN 4X2 Y SERIES OD107/ W59/ L173 .,8.00,2.00,55.81395348837209
RB9853,Ningbo Sunshine Auto Parts Co,13-106,ROL DE EMPUJE NISSAN SENTRA/ ALMERA 1995-1996 33x67x23,49.00,1.00,639.1304347826087
11910/49,Ningbo Sunshine Auto Parts Co,14-55,ROL DE UN CARRIL 19.05x45.23x15.49,49.00,1.00,639.1304347826087
15-291,Ningbo Sunshine Auto Parts Co,15-291,KIT ROL BOCINA DELANTERO NISSAN NP200 2008 / DATSUN GO/ OPEL CORSA 1.4/ 1.6 2008 / MARCH 2003 / NOTE 1.5,49.00,1.00,639.1304347826087
90369-43009,Ningbo Sunshine Auto Parts Co,15-361,KIT ROL BOCINA DELANTERO TOYOTA IPSUM 2001- NOAH 2001- 2AZ 43x82x45,47.00,3.00,223.8095238095238
3N61-2C299-A,Ningbo Sunshine Auto Parts Co,83-37,KIT BOCINA TRASERA CON ABS MAZDA 3/ MAZDA 5 2004-2014 BOLT TO BOLT 79MM,26.00,4.00,93.97590361445783
