Item_ID,Product_ID
4198696000000528393,4198696000000141616
4198696000000528519,4198696000000137683
4198696000000528593,4198696000000138664
4198696000000528657,4198696000000137782
4198696000000528709,4198696000000137809
4198696000000528729,4198696000000137836
4198696000000528757,4198696000000137872
4198696000000528797,4198696000000513120
4198696000000528827,4198696000000139789
4198696000000528829,4198696000000139654
4198696000000528837,4198696000000139825
4198696000000528839,4198696000000139672
4198696000000528873,4198696000000138835
4198696000000528877,4198696000000138853
4198696000000528887,4198696000000138889
4198696000000528915,4198696000000142129
4198696000000528953,4198696000000140257
4198696000000528977,4198696000000140338
4198696000000529027,4198696000000140023
4198696000000529037,4198696000000140059
4198696000000529053,4198696000000140122
4198696000000529059,4198696000000140149
4198696000000529075,4198696000000141751
4198696000000529095,4198696000000138340
4198696000000529169,4198696000000137089
4198696000000529309,4198696000000136540
4198696000000529331,4198696000000136585
4198696000000529365,4198696000000143182
4198696000000529391,4198696000000140788
4198696000000529419,4198696000000141805
4198696000000529449,4198696000000138952
4198696000000529457,4198696000000139051
4198696000000529465,4198696000000139096
4198696000000529479,4198696000000142030
4198696000000529489,4198696000000138538
4198696000000529493,4198696000000142966
4198696000000529501,4198696000000143128
4198696000000529573,4198696000000142435
4198696000000529639,4198696000000139285
4198696000000529673,4198696000000140959
4198696000000529675,4198696000000140932
4198696000000529693,4198696000000143749
4198696000000529701,4198696000000143713
4198696000000529713,4198696000000143920
4198696000000529715,4198696000000143929
4198696000000529745,4198696000000143731
4198696000000529747,4198696000000139321
4198696000000529795,4198696000000142606
4198696000000529805,4198696000000142651
4198696000000529867,4198696000000144118
4198696000000529913,4198696000000140851
4198696000000529949,4198696000000138304
4198696000000530025,4198696000000144460
4198696000000530121,4198696000000143335
4198696000000530153,4198696000000138700
4198696000000588448,4198696000000588268
4198696000000588470,4198696000000588367
4198696000000602657,4198696000000602473
4198696000000602677,4198696000000602563
4198696000000602683,4198696000000602590
4198696000000632051,4198696000000602509
4198696000000703008,4198696000000670470
4198696000000703018,4198696000000670515
4198696000000703060,4198696000000669975
4198696000000703153,4198696000000669867
4198696000000703255,4198696000000670110
4198696000000703261,4198696000000670137
4198696000000703377,4198696000000670398
4198696000000703415,4198696000000670587
4198696000000703423,4198696000000670623
4198696000000705192,4198696000000677539
4198696000000705310,4198696000000677854
4198696000000705368,4198696000000677503
4198696000000705398,4198696000000678520
4198696000000705404,4198696000000676909
4198696000000705412,4198696000000676945
4198696000000705451,4198696000000679249
4198696000000705499,4198696000000679357
4198696000000705618,4198696000000677071
4198696000000705682,4198696000000677188
4198696000000705715,4198696000000679132
4198696000000705883,4198696000000678547
4198696000000705915,4198696000000678619
4198696000000705921,4198696000000678646
4198696000000705923,4198696000000678655
4198696000000791057,4198696000000676882
4198696000000836320,4198696000000836169
4198696000000836326,4198696000000836196
4198696000000836342,4198696000000836268
4198696000000844419,4198696000000836985
4198696000000844425,4198696000000844012
4198696000000844445,4198696000000844327
4198696000000844463,4198696000000844048
4198696000000844465,4198696000000844057
4198696000000844483,4198696000000844138
4198696000000844895,4198696000000844354
4198696000000866391,4198696000000862858
4198696000000866443,4198696000000863092
4198696000000866447,4198696000000863110
4198696000000869568,4198696000000860914
4198696000000869572,4198696000000860932
4198696000000869582,4198696000000860977
4198696000000869592,4198696000000861022
4198696000000869608,4198696000000861103
4198696000000869632,4198696000000861211
4198696000000869668,4198696000000861373
4198696000000872104,4198696000000864091
4198696000000872112,4198696000000864127
4198696000000872218,4198696000000865774
4198696000000872262,4198696000000865972
4198696000000876973,4198696000000863209
4198696000000878541,4198696000000866188
4198696000000878561,4198696000000866287
4198696000000878889,4198696000000861724
4198696000000878909,4198696000000861814
4198696000000878919,4198696000000861859
4198696000000878961,4198696000000862048
4198696000000879001,4198696000000862228
4198696000000879011,4198696000000862273
4198696000000879901,4198696000000863650
4198696000000880446,4198696000000865351
4198696000000880448,4198696000000865639
4198696000000880450,4198696000000865387
4198696000000880454,4198696000000865450
4198696000000880458,4198696000000865432
4198696000000880604,4198696000000865459
4198696000000880926,4198696000000864316
4198696000000880944,4198696000000864397
4198696000000880950,4198696000000864433
4198696000000880992,4198696000000864622
4198696000000881038,4198696000000864829
4198696000000881068,4198696000000864964
4198696000000899882,4198696000000899385
4198696000000900302,4198696000000899628
4198696000000900310,4198696000000899664
4198696000000900312,4198696000000899673
4198696000000907009,4198696000000897216
4198696000000907029,4198696000000897306
4198696000000907079,4198696000000897531
